Track Name,Artists,Album Name,Album Id,Track ID,Popularity,Release Date,Duration (ms),Explicit URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Artists_Song
Falling Behind,Laufey,Everything I Know About Love,0Ydm84ftyiWRGOIFkdl30L,4KGGeE7RJsgLNZmnxGFlOj,,2022-08-26,173640,,0.449,0.353,7,-12.986,1,0.0915,0.942,0.0786,0.109,0.55,165.888,Laufey Falling Behind
From The Start,Laufey,From The Start,1BOZNMzXTIkz8nUfGCxfpe,1Ukxccao1BlWrPhYkcXbwZ,,2023-05-11,169573,,0.664,0.405,1,-7.413,1,0.08,0.877,0.000765,0.11,0.743,81.89,Laufey From The Start
A Night To Remember,"beabadoobee, Laufey",A Night To Remember,73wBVA41AulgjGiL3rBwfe,180AbZduI6bYQIzwCHRwu9,,2023-10-20,233388,,0.726,0.624,2,-7.799,0,0.0277,0.498,0.0294,0.0909,0.573,114.99,"beabadoobee, Laufey A Night To Remember"
Promise,Laufey,Bewitched,1rpCHilZQkw84A3Y9czvMO,08PdFBcXzpkn1cWNgmKqhn,,2023-09-08,234267,,0.263,0.112,5,-16.55,1,0.0344,0.935,8.5e-05,0.0565,0.0903,76.244,Laufey Promise
Valentine,Laufey,Everything I Know About Love,0Ydm84ftyiWRGOIFkdl30L,6cx5CvFhqN19efStehJqoW,,2022-08-26,168907,,0.472,0.204,3,-13.065,1,0.0452,0.917,0.0,0.107,0.224,82.51,Laufey Valentine
Let You Break My Heart Again,"Laufey, Philharmonia Orchestra",Let You Break My Heart Again,2YkyuQGoMV2FlG7mFprnRf,709p9UGPAuyImWf1Z3vjRo,,2021-08-13,269067,,0.299,0.142,2,-15.134,1,0.0369,0.965,0.113,0.111,0.123,76.748,"Laufey, Philharmonia Orchestra Let You Break My Heart Again"
I Wish You Love,Laufey,Typical of Me EP,7pooeoqY4uJkTaW70qxm3z,5zHLswJplBXyPstFSSMIOH,,2021-04-30,155139,,0.736,0.376,0,-9.48,1,0.0324,0.837,3.48e-06,0.151,0.633,108.066,Laufey I Wish You Love
Lovesick,Laufey,Bewitched,1rpCHilZQkw84A3Y9czvMO,39fD0qvjgk8RarJnoBiDTx,,2023-09-08,225360,,0.583,0.372,4,-9.58,1,0.0281,0.664,9.51e-06,0.112,0.338,104.973,Laufey Lovesick
Fragile,Laufey,Everything I Know About Love,0Ydm84ftyiWRGOIFkdl30L,608wYP5XWenLz8cOSYjX7X,,2022-08-26,241080,,0.361,0.413,3,-12.43,1,0.065,0.931,0.000179,0.231,0.336,149.301,Laufey Fragile
Street by Street,Laufey,Street by Street,16JUiUeNlBM9cdIyyuN6nw,0OuOPYd05eORfLw94apb8j,,2020-04-06,224098,,0.694,0.279,0,-10.871,1,0.0546,0.87,2.49e-06,0.137,0.216,82.068,Laufey Street by Street
Like the Movies,Laufey,Typical of Me EP,7pooeoqY4uJkTaW70qxm3z,1hUXDEqjNIIbfjTcaz3jzb,,2021-04-30,162759,,0.575,0.274,0,-10.242,1,0.035,0.908,8.67e-05,0.146,0.214,87.13,Laufey Like the Movies
Dreamer,Laufey,Bewitched,1rpCHilZQkw84A3Y9czvMO,1YxQxV5sKZN1TgVpXl5MLA,,2023-09-08,210827,,0.613,0.146,2,-11.211,1,0.0394,0.954,0.0,0.0857,0.413,117.075,Laufey Dreamer
Beautiful Stranger,Laufey,Everything I Know About Love,0Ydm84ftyiWRGOIFkdl30L,38TpUKiHQZyBKiD9LMMy6X,,2022-08-26,201267,,0.609,0.231,1,-12.348,1,0.0375,0.898,5.63e-05,0.316,0.354,84.007,Laufey Beautiful Stranger
Love Flew Away,"Laufey, Adam Melchor",Love Flew Away,47zvBT8HjRo9jkGESnCy8k,5Uro6tis4oexrT4Po1q71H,,2021-10-07,147347,,0.411,0.361,5,-8.466,1,0.0302,0.92,2.36e-06,0.102,0.315,86.325,"Laufey, Adam Melchor Love Flew Away"
Best Friend,Laufey,Typical of Me EP,7pooeoqY4uJkTaW70qxm3z,5zQR0qoA4S1Iwj2bAwW03a,,2021-04-30,164277,,0.757,0.405,3,-10.403,1,0.0902,0.815,1.16e-06,0.143,0.332,83.024,Laufey Best Friend
Second Best,Laufey,Bewitched,1rpCHilZQkw84A3Y9czvMO,4Y9Ge3i5r0vgFAZq653Yx3,,2023-09-08,204813,,0.419,0.204,10,-14.566,1,0.0343,0.952,1.45e-05,0.0999,0.154,135.141,Laufey Second Best
Slow Down,Laufey,Everything I Know About Love,777K2ytcKbDsX0AZ2y8CBS,4KLZOU5V5XuEkvytSgyW6u,,2022-10-14,145093,,0.696,0.12,11,-15.161,1,0.0371,0.966,0.00242,0.106,0.422,98.805,Laufey Slow Down
No One Knows (with Laufey),"Stephen Sanchez, Laufey",Angel Face,6CczqhUdYOH4qLSDnN3zkg,2ZQ6YMcGxwyvAfV6dl8hkB,,2023-09-22,239309,,0.481,0.42,5,-10.629,1,0.0301,0.66,0.0,0.192,0.349,99.91,"Stephen Sanchez, Laufey No One Knows (with Laufey)"
Magnolia,Laufey,Typical of Me EP,7pooeoqY4uJkTaW70qxm3z,0R5vO904RzxDJ30yZaspQD,,2021-04-30,180301,,0.3,0.258,1,-12.129,1,0.0363,0.861,0.0,0.166,0.309,167.407,Laufey Magnolia
Haunted,Laufey,Bewitched,1rpCHilZQkw84A3Y9czvMO,1bx9j48IeWnDnPqcTTqT8Q,,2023-09-08,200627,,0.481,0.266,7,-14.83,0,0.0284,0.962,0.0133,0.127,0.0932,109.087,Laufey Haunted
What Love Will Do to You,Laufey,Everything I Know About Love,0Ydm84ftyiWRGOIFkdl30L,4TvZH3MgJ1ZNBPquN2xwjK,,2022-08-26,171253,,0.409,0.219,1,-11.73,1,0.0572,0.94,1.14e-06,0.11,0.382,76.061,Laufey What Love Will Do to You
Someone New,Laufey,Someone New,1OdANZQlB2kBHw4dFjIiii,1trLEhC9nDvvj36MfnlwcJ,,2020-05-25,198000,,0.49,0.261,0,-12.213,1,0.0375,0.892,7.95e-06,0.13,0.16,90.134,Laufey Someone New
James,Laufey,Typical of Me EP,7pooeoqY4uJkTaW70qxm3z,2y1NtQ2ZfIq0zBUP3tOlbX,,2021-04-30,175970,,0.499,0.37,9,-9.907,1,0.0446,0.846,0.000188,0.16,0.37,133.513,Laufey James
While You Were Sleeping,Laufey,Bewitched,1rpCHilZQkw84A3Y9czvMO,753iehfOnYSmjVfjx20znR,,2023-09-08,177493,,0.299,0.333,4,-10.896,1,0.0343,0.931,4.19e-05,0.291,0.395,156.164,Laufey While You Were Sleeping
The Nearness of You - Live at The Symphony,"Laufey, Iceland Symphony Orchestra",A Night At The Symphony,0ONGXnqkOl98GYJy619wqn,4vjFL3VnYcaJqX1HmQEBRa,,2023-03-02,168400,,0.199,0.381,0,-8.637,1,0.0341,0.886,4.71e-06,0.681,0.166,88.364,"Laufey, Iceland Symphony Orchestra The Nearness of You - Live at The Symphony"
Everytime We Say Goodbye - Live at The Symphony,"Laufey, Iceland Symphony Orchestra",A Night At The Symphony,0ONGXnqkOl98GYJy619wqn,5cddyAdFOA3JsC3MhYmc2Y,,2023-03-02,273547,,0.136,0.483,10,-7.889,1,0.0397,0.832,5.02e-05,0.683,0.112,167.184,"Laufey, Iceland Symphony Orchestra Everytime We Say Goodbye - Live at The Symphony"
Ég Veit Þú Kemur - Live at The Symphony,"Laufey, Iceland Symphony Orchestra",A Night At The Symphony,0ONGXnqkOl98GYJy619wqn,3X87xXj9SO8crggRjenwYZ,,2023-03-02,216733,,0.285,0.525,0,-4.401,1,0.0331,0.703,0.000146,0.702,0.362,73.323,"Laufey, Iceland Symphony Orchestra Ég Veit Þú Kemur - Live at The Symphony"
Bruddanem (feat. Lil Durk),"JID, Lil Durk",The Forever Story,3QVjpIxcksDkJmOnvlOJjg,60pZpM5WjUBQvaQ5E37XW6,,2022-08-26,235424,,0.765,0.501,4,-6.64,0,0.252,0.62,0.0,0.135,0.721,130.173,"JID, Lil Durk Bruddanem (feat. Lil Durk)"
Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",The Forever Story (Extended Version),4rJDCELWL0fjdmN9Gn4f4g,1udwFobQ1JoOdWPQrp2b6u,,2022-10-31,229938,,0.575,0.56,5,-7.302,1,0.478,0.173,0.0,0.257,0.471,75.956,"JID, 21 Savage, Baby Tate Surround Sound (feat. 21 Savage & Baby Tate)"
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",Mercury - Acts 1 & 2,6yiXkzHvC0OTmhfDQOEWtS,3CIyK1V4JEJkg02E4EJnDl,,2022-07-01,173381,,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,"Imagine Dragons, JID, Arcane, League of Legends Enemy (with JID) - from the series Arcane League of Legends"
151 Rum,JID,DiCaprio 2,2oI6gtIXrvNiL2VEMmj5kY,22WV03i2lBbwNVCE1g671p,,2018-11-26,156780,,0.756,0.867,7,-3.626,1,0.162,0.155,0.00285,0.33,0.666,129.983,JID 151 Rum
"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)","Dreamville, JID, Bas, J. Cole, EARTHGANG, Young Nudy",Revenge Of The Dreamers III,2n3quCZ0anEa46j2IveacI,36J0iaPDGbYGsHvYpaYs3k,,2019-07-05,169147,,0.761,0.586,0,-5.368,1,0.359,0.0392,0.0,0.0558,0.719,149.804,"Dreamville, JID, Bas, J. Cole, EARTHGANG, Young Nudy Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)"
Dance Now (feat. Kenny Mason),"JID, Kenny Mason",The Forever Story (Extended Version),4rJDCELWL0fjdmN9Gn4f4g,2WrldKXSBVbNNm3A9vJryi,,2022-10-31,227556,,0.786,0.475,1,-10.902,1,0.248,0.0919,9.6e-06,0.176,0.264,135.0,"JID, Kenny Mason Dance Now (feat. Kenny Mason)"
Zero (J.I.D Remix),"NewJeans, JID",Zero (J.I.D Remix),45wwQll1Ay4A1Rz79wWuNt,12Yy0hZrUebGnr3IrppPnW,,2023-06-20,224682,,0.69,0.77,1,-5.731,0,0.231,0.166,0.000169,0.663,0.692,172.02,"NewJeans, JID Zero (J.I.D Remix)"
Danger (Spider) (Offset & JID),"Offset, JID",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),1bwbZJ6khPJyVpOaqgKsoZ,3X6qK1LdMkSOhklwRa2ZfG,,2023-06-02,205267,,0.833,0.686,11,-6.39,1,0.117,0.0421,0.000128,0.227,0.252,143.427,"Offset, JID Danger (Spider) (Offset & JID)"
Van Gogh (feat. Lil Yachty),"JID, Lil Yachty",BlakkBoyz present Half Doin Dope/Van Gogh,19BajLbOujVKO4BPCTIzoc,2tcI5EedPVjrxwewRQs62W,,2023-09-01,126957,,0.763,0.659,2,-6.147,1,0.212,0.0974,0.0,0.115,0.539,137.974,"JID, Lil Yachty Van Gogh (feat. Lil Yachty)"
Kody Blu 31,JID,The Forever Story (Extended Version),4rJDCELWL0fjdmN9Gn4f4g,6ZGoFntcQUWTPGGQPQmecY,,2022-10-31,224630,,0.559,0.719,4,-7.897,0,0.156,0.149,4.2e-06,0.46,0.532,76.184,JID Kody Blu 31
Sandstorm (feat. JID),"Mereba, JID",The Jungle Is The Only Way Out,40L9yPrh6yD1ECI3ofNfPc,1NlWBpNYAnFT7gMGyC0Y1M,,2019-02-27,179027,,0.637,0.512,2,-10.027,1,0.0978,0.59,0.000464,0.0712,0.33,109.492,"Mereba, JID Sandstorm (feat. JID)"
"Be Who You Are (Real Magic) (feat. JID, NewJeans & Camilo)","Jon Batiste, JID, NewJeans, Camilo",Be Who You Are (Real Magic),1Pk1W5xbmAqG6wBNL4sjq5,7fcZk7OXeFWD7DWybltVVf,,2023-05-31,189714,,0.657,0.875,2,-4.206,1,0.089,0.0328,0.0,0.267,0.745,143.884,"Jon Batiste, JID, NewJeans, Camilo Be Who You Are (Real Magic) (feat. JID, NewJeans & Camilo)"
